,Song,Writer(s),Original release,Producer(s),Year,Ref.
82,"""Look at Me""",John Lennon,John Lennon/Plastic Ono Band,John Lennon Yoko Ono Phil Spector,1970,[40]
83,"""Love""",John Lennon,John Lennon/Plastic Ono Band,John Lennon Yoko Ono Phil Spector,1970,[40]
84,"""The Luck of the Irish"" # (with Elephant's Memory)",John Lennon Yoko Ono,Some Time in New York City,John Lennon Yoko Ono Phil Spector,1972,[28]
85,"""Lucy in the Sky with Diamonds""[d] (live)",John Lennon Paul McCartney,Lennon,–,1990,[44]
86,"""Maggie Mae""",Traditional arr. John Lennon Paul McCartney George Harrison Ringo Starr,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
87,"""Meat City""",John Lennon,Mind Games,John Lennon,1973,[25]
88,"""Medley: Bring It On Home to Me/Send Me Some Lovin'""",Sam Cooke John Marascalco Leo Price †,Rock 'n' Roll,John Lennon,1975,[24]
89,"""Medley: Rip It Up/Ready Teddy""",Robert Blackwell John Marascalco †,Rock 'n' Roll,John Lennon,1975,[24]
90,"""Mind Games""",John Lennon,Mind Games,John Lennon,1973,[25]
91,"""Money (That's What I Want)"" (live) (Plastic Ono Band)",Janie Bradford Berry Gordy †,Live Peace in Toronto 1969,John Lennon Yoko Ono,1969,[31]
92,"""Mother""",John Lennon,John Lennon/Plastic Ono Band,John Lennon Yoko Ono Phil Spector,1970,[40]
93,"""Move Over Ms. L""",John Lennon,"Non-album single (B-side to ""Stand by Me"")",John Lennon,1975,[47]
94,"""Mr. Hyde's Gone (Don't Be Afraid)""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
95,"""Mucho Mungo""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
96,"""My Baby Left Me""",Arthur Crudup †,Menlove Ave.,John Lennon Phil Spector,1986,[27]
97,"""My Life""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
98,"""My Mummy's Dead""",John Lennon,John Lennon/Plastic Ono Band,John Lennon Yoko Ono Phil Spector,1970,[40]
