,Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
201,"""Yer Blues""","The Beatles (""White Album"")",Lennon McCartney,Lennon,1968,[62]
202,"""Yes It Is"" #","Past Masters (B-side of ""Ticket to Ride"")",Lennon McCartney,Lennon (with McCartney and Harrison),1965,[52] [95]
203,"""Yesterday""",Help!,Lennon McCartney,McCartney,1965,[53]
204,"""You Can't Do That""",A Hard Day's Night,Lennon McCartney,Lennon,1964,[58]
205,"""You Know My Name (Look Up the Number)"" #","Past Masters (B-side of ""Let It Be"")",Lennon McCartney,Lennon McCartney,1970,[52] [96]
206,"""You Like Me Too Much""",Help!,Harrison,Harrison,1965,[53]
207,"""You Never Give Me Your Money""",Abbey Road,Lennon McCartney,McCartney,1969,[64]
208,"""You Really Got a Hold on Me""",With the Beatles,Smokey Robinson †,Lennon (with Harrison),1963,[54]
209,"""You Won't See Me""",Rubber Soul,Lennon McCartney,McCartney,1965,[69]
210,"""Your Mother Should Know""",Magical Mystery Tour,Lennon McCartney,McCartney,1967,[57]
211,"""You're Going to Lose That Girl""",Help!,Lennon McCartney,Lennon,1965,[53]
212,"""You've Got to Hide Your Love Away""",Help!,Lennon McCartney,Lennon,1965,[53]
